RANKED SIMILARITIES: 1 (converts to 0, then to 0) 
18 77 1.90862405503 (89, 77) sloan
18 96 1.90862407305 (25, 21) mlgrad
18 80 1.90862427575 (27, 23) mlgrad
18 43 1.90862483821 (101, 89) mlgrad
18 91 1.90862489638 (35, 30) mlgrad
18 74 1.90862514568 (75, 64) mlgrad
18 85 1.90862530259 (6, 4) mlgrad
18 47 1.90862530259 (90, 78) mlgrad
18 46 1.90862530259 (93, 81) sloan
18 62 1.90862530259 (104, 92) mlgrad
18 70 1.90862530259 (40, 34) mlfrosh
18 6 1.90862530259 (3, 1) 1styeargrad
18 59 1.90862530259 (7, 5) grad
18 2 1.90862530259 (29, 25) mlgrad
18 30 1.90862530259 (68, 57) mlgrad
18 92 1.90862530259 (46, 39) sloan
18 61 1.90862530259 (79, 68) mlfrosh
18 82 1.90862530259 (83, 72) mlgrad
18 26 1.90862530259 (63, 53) 1styeargrad
18 49 1.90862530259 (50, 42) mlgrad
18 12 1.90879015868 (97, 85) sloan
18 23 1.91294676133 (61, 51) sloan
18 22 1.91340425886 (49, 41) sloan
18 42 1.91434430239 (51, 0) 
18 10 1.92420134883 (37, 32) mlgrad
18 5 1.92917961545 (24, 0) 
18 93 1.9338660921 (65, 54) mlgrad
18 28 1.93933844365 (0, 0) 6years
18 81 1.9412358919 (19, 16) 1styeargrad
18 84 1.94267033551 (77, 66) sloan
18 11 1.94757918025 (88, 76) 1styeargrad
18 66 1.94786548831 (42, 36) sloan
18 36 1.95160446122 (54, 45) sloan
18 4 1.9521936406 (55, 46) sloan
18 9 1.95439414956 (0, 0) mlUrop
18 21 1.95769749601 (103, 91) mlgrad
18 50 1.96292704085 (86, 74) sloan
18 19 1.96688312402 (56, 47) sloan
18 13 1.9704951578 (87, 75) mlstaff
18 56 1.97284666523 (95, 83) sloan
18 38 1.97304592123 (52, 43) sloan
18 60 1.97368823259 (67, 56) mlgrad
18 39 1.97431528343 (60, 50) mlgrad
18 25 inf (0, 0) sloan
18 48 inf (0, 0) Germany
18 52 inf (0, 0) 
18 53 inf (43, 37) mlgrad
18 55 inf (0, 0) urop_hd
18 64 inf (66, 55) sloan
18 67 inf (0, 0) sloan
18 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 19 (converts to 56, then to 47) sloan
19 4 0.67243056802 (55, 46) sloan
19 82 0.767771422231 (83, 72) mlgrad
19 15 0.987723792324 (15, 13) 1styeargrad
19 47 1.01738414857 (90, 78) mlgrad
19 9 1.13425557821 (0, 0) mlUrop
19 5 1.42837167987 (24, 0) 
19 12 1.45816651488 (97, 85) sloan
19 85 1.47145911715 (6, 4) mlgrad
19 65 1.49432906239 (53, 44) mlgrad
19 56 1.50975727475 (95, 83) sloan
19 29 1.50992239308 (4, 2) mlgrad
19 78 1.54080793909 (12, 10) mlgrad
19 13 1.59083894115 (87, 75) mlstaff
19 91 1.69525273043 (35, 30) mlgrad
19 2 1.95624190641 (29, 25) mlgrad
19 6 1.9659966569 (3, 1) 1styeargrad
19 8 1.96682765375 (18, 0) 
19 17 1.96688312402 (0, 0) 5 year media lab
19 86 1.96688312402 (8, 6) mlgrad
19 7 1.96688312402 (21, 18) 1styeargrad
19 54 1.96688312402 (91, 0) mlgrad
19 68 1.96688312402 (38, 33) mlfrosh
19 14 1.96688312402 (16, 14) 1styeargrad
19 66 1.96688312402 (42, 36) sloan
19 97 1.96688312402 (22, 19) 1styeargrad
19 16 1.96688312402 (102, 90) mlurop
19 22 1.96688312402 (49, 41) sloan
19 43 1.96688312402 (101, 89) mlgrad
19 84 1.96688312402 (77, 66) sloan
19 27 1.96688312402 (34, 0) 
19 28 1.96688312402 (0, 0) 6years
19 35 1.96688312402 (0, 0) sloan
19 63 1.96688312402 (36, 31) mlgrad
19 95 1.96688312402 (9, 7) professor
19 71 1.96688312402 (20, 17) 1styeargrad
19 93 1.96688312402 (65, 54) mlgrad
19 24 1.96688312402 (78, 67) mlfrosh
19 31 1.96688312402 (0, 0) sloan
19 44 1.96688312402 (0, 0) 3rdyeargrad
19 46 1.96688312402 (93, 81) sloan
19 77 1.96688312402 (89, 77) sloan
19 90 1.96688312402 (13, 11) grad
19 96 1.96688312402 (25, 21) mlgrad
19 3 1.96688312402 (32, 28) mlfrosh
19 21 1.96688312402 (103, 91) mlgrad
19 57 1.96688312402 (23, 20) mlgrad
19 62 1.96688312402 (104, 92) mlgrad
19 70 1.96688312402 (40, 34) mlfrosh
19 59 1.96688312402 (7, 5) grad
19 81 1.96688312402 (19, 16) 1styeargrad
19 88 1.96688312402 (17, 15) mlstaff
19 89 1.96688312402 (26, 22) 1styeargrad
19 10 1.96688312402 (37, 32) mlgrad
19 18 1.96688312402 (30, 26) mlgrad
19 36 1.96688312402 (54, 45) sloan
19 37 1.96688312402 (94, 82) mlgrad
19 61 1.96688312402 (79, 68) mlfrosh
19 79 1.96688312402 (76, 65) sloan
19 94 1.96688312402 (10, 8) mlgrad
19 11 1.96688312402 (88, 76) 1styeargrad
19 30 1.96688312402 (68, 57) mlgrad
19 50 1.96688312402 (86, 74) sloan
19 92 1.96688312402 (46, 39) sloan
19 20 1.96688312402 (74, 63) sloan
19 72 1.96688312402 (81, 70) sloan
19 76 1.96688312402 (82, 71) 1styeargrad
19 32 1.96688312402 (0, 0) graduated
19 45 1.96688312402 (84, 73) sloan
19 33 1.96688312402 (41, 35) mlstaff
19 41 1.96688312402 (0, 0) prof
19 75 1.96688312402 (100, 88) 1styeargrad
19 26 1.96688312402 (63, 53) 1styeargrad
19 34 1.96688312402 (96, 84) mlgrad
19 42 1.96688312402 (51, 0) 
19 80 1.96688312402 (27, 23) mlgrad
19 73 1.96688312402 (70, 59) sloan
19 58 1.96688312402 (33, 29) mlfrosh
19 83 1.96688312402 (5, 3) mlgrad
19 23 1.96688312402 (61, 51) sloan
19 49 1.96688312402 (50, 42) mlgrad
19 74 1.96688312402 (75, 64) mlgrad
19 69 1.97146506374 (28, 24) 1styeargrad
19 38 1.97304592123 (52, 43) sloan
19 60 1.97370983902 (67, 56) mlgrad
19 39 1.97431528343 (60, 50) mlgrad
19 40 1.98198989339 (98, 86) sloan
19 51 1.98367922438 (58, 49) 1styeargrad
19 25 inf (0, 0) sloan
19 48 inf (0, 0) Germany
19 52 inf (0, 0) 
19 53 inf (43, 37) mlgrad
19 55 inf (0, 0) urop_hd
19 64 inf (66, 55) sloan
19 67 inf (0, 0) sloan
19 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 20 (converts to 74, then to 63) sloan
20 61 1.21673919216 (79, 68) mlfrosh
20 59 1.22085256801 (7, 5) grad
20 46 1.30212422822 (93, 81) sloan
20 92 1.34657487654 (46, 39) sloan
20 71 1.3888507011 (20, 17) 1styeargrad
20 11 1.3893773986 (88, 76) 1styeargrad
20 26 1.43129839449 (63, 53) 1styeargrad
20 35 1.44706925305 (0, 0) sloan
20 66 1.52622380094 (42, 36) sloan
20 49 1.54573186196 (50, 42) mlgrad
20 23 1.55627553441 (61, 51) sloan
20 22 1.58925213806 (49, 41) sloan
20 17 1.6143338293 (0, 0) 5 year media lab
20 36 1.61558109246 (54, 45) sloan
20 70 1.63441435315 (40, 34) mlfrosh
20 58 1.63484024555 (33, 29) mlfrosh
20 27 1.65081829849 (34, 0) 
20 24 1.67820609182 (78, 67) mlfrosh
20 93 1.70624903567 (65, 54) mlgrad
20 40 1.73747168854 (98, 86) sloan
20 77 1.74953952125 (89, 77) sloan
20 76 1.79637229495 (82, 71) 1styeargrad
20 8 1.81445777315 (18, 0) 
20 73 1.81485124606 (70, 59) sloan
20 97 1.81489847628 (22, 19) 1styeargrad
20 79 1.81755718272 (76, 65) sloan
20 89 1.81950186159 (26, 22) 1styeargrad
20 94 1.82010997712 (10, 8) mlgrad
20 44 1.8202227018 (0, 0) 3rdyeargrad
20 63 1.82128862086 (36, 31) mlgrad
20 7 1.82144667326 (21, 18) 1styeargrad
20 68 1.82159810584 (38, 33) mlfrosh
20 37 1.82230132047 (94, 82) mlgrad
20 32 1.82284831343 (0, 0) graduated
20 83 1.82387765812 (5, 3) mlgrad
20 88 1.82438433794 (17, 15) mlstaff
20 33 1.82564896928 (41, 35) mlstaff
20 95 1.82683754713 (9, 7) professor
20 75 1.82717317347 (100, 88) 1styeargrad
20 45 1.82967962831 (84, 73) sloan
20 3 1.83917663533 (32, 28) mlfrosh
20 31 1.84598544206 (0, 0) sloan
20 18 1.85059332152 (30, 26) mlgrad
20 14 1.86668585022 (16, 14) 1styeargrad
20 16 1.87160105564 (102, 90) mlurop
20 54 1.87263547123 (91, 0) mlgrad
20 80 1.87819677711 (27, 23) mlgrad
20 2 1.88303825432 (29, 25) mlgrad
20 78 1.88384063332 (12, 10) mlgrad
20 57 1.88384063332 (23, 20) mlgrad
20 15 1.88384063332 (15, 13) 1styeargrad
20 90 1.88384063332 (13, 11) grad
20 65 1.88384063332 (53, 44) mlgrad
20 96 1.88384063332 (25, 21) mlgrad
20 43 1.88384069186 (101, 89) mlgrad
20 91 1.88384075004 (35, 30) mlgrad
20 47 1.88384115624 (90, 78) mlgrad
20 6 1.88384115624 (3, 1) 1styeargrad
20 62 1.88384115624 (104, 92) mlgrad
20 30 1.88384115624 (68, 57) mlgrad
20 82 1.88384115624 (83, 72) mlgrad
20 29 1.88669336391 (4, 2) mlgrad
20 74 1.88948346954 (75, 64) mlgrad
20 34 1.89124636408 (96, 84) mlgrad
20 85 1.89406409479 (6, 4) mlgrad
20 72 1.8963086092 (81, 70) sloan
20 41 1.89656917345 (0, 0) prof
20 86 1.90010282135 (8, 6) mlgrad
20 69 1.91027221636 (28, 24) 1styeargrad
20 42 1.91434430239 (51, 0) 
20 51 1.92243496734 (58, 49) 1styeargrad
20 60 1.92288636649 (67, 56) mlgrad
20 10 1.92420474606 (37, 32) mlgrad
20 5 1.92918301267 (24, 0) 
20 12 1.93399634062 (97, 85) sloan
20 28 1.93933844365 (0, 0) 6years
20 81 1.94123928913 (19, 16) 1styeargrad
20 84 1.94267373274 (77, 66) sloan
20 4 1.95206210369 (55, 46) sloan
20 9 1.95439414956 (0, 0) mlUrop
20 21 1.95769749601 (103, 91) mlgrad
20 50 1.96292730872 (86, 74) sloan
20 19 1.96688312402 (56, 47) sloan
20 13 1.9704951578 (87, 75) mlstaff
20 56 1.97284666523 (95, 83) sloan
20 38 1.97304592123 (52, 43) sloan
20 39 1.97431528343 (60, 50) mlgrad
20 25 inf (0, 0) sloan
20 48 inf (0, 0) Germany
20 52 inf (0, 0) 
20 53 inf (43, 37) mlgrad
20 55 inf (0, 0) urop_hd
20 64 inf (66, 55) sloan
20 67 inf (0, 0) sloan
20 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 21 (converts to 103, then to 91) mlgrad
21 80 0.889346451063 (27, 23) mlgrad
21 50 1.01813494449 (86, 74) sloan
21 84 1.29431797501 (77, 66) sloan
21 57 1.33010820849 (23, 20) mlgrad
21 96 1.33703742518 (25, 21) mlgrad
21 81 1.35161901091 (19, 16) 1styeargrad
21 10 1.36213016737 (37, 32) mlgrad
21 30 1.37502501731 (68, 57) mlgrad
21 62 1.39194970537 (104, 92) mlgrad
21 28 1.39765967987 (0, 0) 6years
21 74 1.40756812036 (75, 64) mlgrad
21 86 1.40839504929 (8, 6) mlgrad
21 38 1.42213219908 (52, 43) sloan
21 39 1.45141889026 (60, 50) mlgrad
21 43 1.53836605234 (101, 89) mlgrad
21 72 1.55325638396 (81, 70) sloan
21 42 1.58706891109 (51, 0) 
21 35 1.76221641126 (0, 0) sloan
21 37 1.82533453121 (94, 82) mlgrad
21 90 1.82760740513 (13, 11) grad
21 71 1.9558833419 (20, 17) 1styeargrad
21 46 1.95748661557 (93, 81) sloan
21 17 1.95769749601 (0, 0) 5 year media lab
21 78 1.95769749601 (12, 10) mlgrad
21 85 1.95769749601 (6, 4) mlgrad
21 7 1.95769749601 (21, 18) 1styeargrad
21 47 1.95769749601 (90, 78) mlgrad
21 16 1.95769749601 (102, 90) mlurop
21 68 1.95769749601 (38, 33) mlfrosh
21 14 1.95769749601 (16, 14) 1styeargrad
21 22 1.95769749601 (49, 41) sloan
21 66 1.95769749601 (42, 36) sloan
21 4 1.95769749601 (55, 46) sloan
21 15 1.95769749601 (15, 13) 1styeargrad
21 97 1.95769749601 (22, 19) 1styeargrad
21 54 1.95769749601 (91, 0) mlgrad
21 9 1.95769749601 (0, 0) mlUrop
21 29 1.95769749601 (4, 2) mlgrad
21 77 1.95769749601 (89, 77) sloan
21 27 1.95769749601 (34, 0) 
21 95 1.95769749601 (9, 7) professor
21 5 1.95769749601 (24, 0) 
21 93 1.95769749601 (65, 54) mlgrad
21 24 1.95769749601 (78, 67) mlfrosh
21 31 1.95769749601 (0, 0) sloan
21 63 1.95769749601 (36, 31) mlgrad
21 70 1.95769749601 (40, 34) mlfrosh
21 89 1.95769749601 (26, 22) 1styeargrad
21 3 1.95769749601 (32, 28) mlfrosh
21 6 1.95769749601 (3, 1) 1styeargrad
21 18 1.95769749601 (30, 26) mlgrad
21 36 1.95769749601 (54, 45) sloan
21 44 1.95769749601 (0, 0) 3rdyeargrad
21 65 1.95769749601 (53, 44) mlgrad
21 88 1.95769749601 (17, 15) mlstaff
21 2 1.95769749601 (29, 25) mlgrad
21 11 1.95769749601 (88, 76) 1styeargrad
21 59 1.95769749601 (7, 5) grad
21 79 1.95769749601 (76, 65) sloan
21 94 1.95769749601 (10, 8) mlgrad
21 61 1.95769749601 (79, 68) mlfrosh
21 82 1.95769749601 (83, 72) mlgrad
21 91 1.95769749601 (35, 30) mlgrad
21 92 1.95769749601 (46, 39) sloan
21 20 1.95769749601 (74, 63) sloan
21 41 1.95769749601 (0, 0) prof
21 76 1.95769749601 (82, 71) 1styeargrad
21 45 1.95769749601 (84, 73) sloan
21 32 1.95769749601 (0, 0) graduated
21 34 1.95769749601 (96, 84) mlgrad
21 75 1.95769749601 (100, 88) 1styeargrad
21 26 1.95769749601 (63, 53) 1styeargrad
21 8 1.95769749601 (18, 0) 
21 33 1.95769749601 (41, 35) mlstaff
21 73 1.95769749601 (70, 59) sloan
21 58 1.95769749601 (33, 29) mlfrosh
21 83 1.95769749601 (5, 3) mlgrad
21 23 1.95769749601 (61, 51) sloan
21 49 1.95769749601 (50, 42) mlgrad
21 19 1.96688312402 (56, 47) sloan
21 12 1.97045928215 (97, 85) sloan
21 13 1.9704951578 (87, 75) mlstaff
21 69 1.97146506374 (28, 24) 1styeargrad
21 56 1.97284666523 (95, 83) sloan
21 60 1.97370983902 (67, 56) mlgrad
21 40 1.98198989339 (98, 86) sloan
21 51 1.98367922438 (58, 49) 1styeargrad
21 25 inf (0, 0) sloan
21 48 inf (0, 0) Germany
21 52 inf (0, 0) 
21 53 inf (43, 37) mlgrad
21 55 inf (0, 0) urop_hd
21 64 inf (66, 55) sloan
21 67 inf (0, 0) sloan
21 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 22 (converts to 49, then to 41) sloan
22 49 1.25955171744 (50, 42) mlgrad
22 35 1.39590562623 (0, 0) sloan
22 70 1.43979529148 (40, 34) mlfrosh
22 36 1.44513499051 (54, 45) sloan
22 26 1.44993974662 (63, 53) 1styeargrad
22 17 1.52189749238 (0, 0) 5 year media lab
22 23 1.52959891869 (61, 51) sloan
22 11 1.57351718839 (88, 76) 1styeargrad
22 71 1.58709895812 (20, 17) 1styeargrad
22 20 1.58925213806 (74, 63) sloan
22 77 1.59149557309 (89, 77) sloan
22 61 1.59883287425 (79, 68) mlfrosh
22 59 1.60957864884 (7, 5) grad
22 46 1.63492511203 (93, 81) sloan
22 92 1.66928799239 (46, 39) sloan
22 24 1.69666008291 (78, 67) mlfrosh
22 27 1.72650355848 (34, 0) 
22 66 1.73995451876 (42, 36) sloan
22 58 1.7897774825 (33, 29) mlfrosh
22 93 1.80585593932 (65, 54) mlgrad
22 40 1.87781604516 (98, 86) sloan
22 76 1.8830041257 (82, 71) 1styeargrad
22 60 1.8916205063 (67, 56) mlgrad
22 3 1.90304616637 (32, 28) mlfrosh
22 80 1.90776040265 (27, 23) mlgrad
22 97 1.90971270515 (22, 19) 1styeargrad
22 2 1.91260135694 (29, 25) mlgrad
22 89 1.91321986326 (26, 22) 1styeargrad
22 94 1.9133738646 (10, 8) mlgrad
22 85 1.91338809828 (6, 4) mlgrad
22 73 1.91339060142 (70, 59) sloan
22 63 1.91340305666 (36, 31) mlgrad
22 86 1.91340425886 (8, 6) mlgrad
22 78 1.91340425886 (12, 10) mlgrad
22 7 1.91340425886 (21, 18) 1styeargrad
22 68 1.91340425886 (38, 33) mlfrosh
22 43 1.91340425886 (101, 89) mlgrad
22 15 1.91340425886 (15, 13) 1styeargrad
22 47 1.91340425886 (90, 78) mlgrad
22 33 1.91340425886 (41, 35) mlstaff
22 29 1.91340425886 (4, 2) mlgrad
22 57 1.91340425886 (23, 20) mlgrad
22 31 1.91340425886 (0, 0) sloan
22 82 1.91340425886 (83, 72) mlgrad
22 88 1.91340425886 (17, 15) mlstaff
22 90 1.91340425886 (13, 11) grad
22 91 1.91340425886 (35, 30) mlgrad
22 18 1.91340425886 (30, 26) mlgrad
22 6 1.91340425886 (3, 1) 1styeargrad
22 30 1.91340425886 (68, 57) mlgrad
22 62 1.91340425886 (104, 92) mlgrad
22 79 1.91340425886 (76, 65) sloan
22 96 1.91340425886 (25, 21) mlgrad
22 37 1.91340425886 (94, 82) mlgrad
22 44 1.91340425886 (0, 0) 3rdyeargrad
22 65 1.91340425886 (53, 44) mlgrad
22 32 1.91340425886 (0, 0) graduated
22 95 1.91340425886 (9, 7) professor
22 75 1.91340425886 (100, 88) 1styeargrad
22 45 1.91340425886 (84, 73) sloan
22 83 1.91340425886 (5, 3) mlgrad
22 8 1.91340425886 (18, 0) 
22 74 1.91340425886 (75, 64) mlgrad
22 42 1.91434430239 (51, 0) 
22 10 1.92420526898 (37, 32) mlgrad
22 5 1.92918353559 (24, 0) 
22 14 1.93246746396 (16, 14) 1styeargrad
22 16 1.93669818898 (102, 90) mlurop
22 28 1.93933844365 (0, 0) 6years
22 54 1.93942531984 (91, 0) mlgrad
22 81 1.94123981205 (19, 16) 1styeargrad
22 84 1.94267425566 (77, 66) sloan
22 72 1.94307020432 (81, 70) sloan
22 34 1.95098207934 (96, 84) mlgrad
22 4 1.95206210369 (55, 46) sloan
22 41 1.95273644418 (0, 0) prof
22 9 1.95439414956 (0, 0) mlUrop
22 21 1.95769749601 (103, 91) mlgrad
22 50 1.96292783164 (86, 74) sloan
22 19 1.96688312402 (56, 47) sloan
22 12 1.97045928215 (97, 85) sloan
22 13 1.9704951578 (87, 75) mlstaff
22 69 1.97142255129 (28, 24) 1styeargrad
22 56 1.97284666523 (95, 83) sloan
22 38 1.97304592123 (52, 43) sloan
22 39 1.97431528343 (60, 50) mlgrad
22 51 1.98367922438 (58, 49) 1styeargrad
22 25 inf (0, 0) sloan
22 48 inf (0, 0) Germany
22 52 inf (0, 0) 
22 53 inf (43, 37) mlgrad
22 55 inf (0, 0) urop_hd
22 64 inf (66, 55) sloan
22 67 inf (0, 0) sloan
22 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 23 (converts to 61, then to 51) sloan
23 36 1.35546898682 (54, 45) sloan
23 22 1.52959891869 (49, 41) sloan
23 61 1.54486778537 (79, 68) mlfrosh
23 77 1.54736949304 (89, 77) sloan
23 59 1.54821135233 (7, 5) grad
23 20 1.55627553441 (74, 63) sloan
23 46 1.57123192428 (93, 81) sloan
23 92 1.60168655282 (46, 39) sloan
23 49 1.61130647855 (50, 42) mlgrad
23 66 1.61399360056 (42, 36) sloan
23 35 1.62597713733 (0, 0) sloan
23 17 1.63406151231 (0, 0) 5 year media lab
23 71 1.7120719221 (20, 17) 1styeargrad
23 11 1.71387235373 (88, 76) 1styeargrad
23 26 1.77836102882 (63, 53) 1styeargrad
23 27 1.7931312388 (34, 0) 
23 70 1.79799780225 (40, 34) mlfrosh
23 58 1.80541325911 (33, 29) mlfrosh
23 24 1.80878218439 (78, 67) mlfrosh
23 93 1.84785056245 (65, 54) mlgrad
23 40 1.84840017308 (98, 86) sloan
23 76 1.88254662817 (82, 71) 1styeargrad
23 60 1.89648601486 (67, 56) mlgrad
23 3 1.90538013658 (32, 28) mlfrosh
23 80 1.90730290512 (27, 23) mlgrad
23 97 1.909885591 (22, 19) 1styeargrad
23 2 1.91214385941 (29, 25) mlgrad
23 89 1.91276236573 (26, 22) 1styeargrad
23 94 1.91291756927 (10, 8) mlgrad
23 85 1.91293060075 (6, 4) mlgrad
23 78 1.91294676133 (12, 10) mlgrad
23 86 1.91294676133 (8, 6) mlgrad
23 88 1.91294676133 (17, 15) mlstaff
23 43 1.91294676133 (101, 89) mlgrad
23 33 1.91294676133 (41, 35) mlstaff
23 47 1.91294676133 (90, 78) mlgrad
23 57 1.91294676133 (23, 20) mlgrad
23 95 1.91294676133 (9, 7) professor
23 68 1.91294676133 (38, 33) mlfrosh
23 15 1.91294676133 (15, 13) 1styeargrad
23 7 1.91294676133 (21, 18) 1styeargrad
23 29 1.91294676133 (4, 2) mlgrad
23 91 1.91294676133 (35, 30) mlgrad
23 90 1.91294676133 (13, 11) grad
23 37 1.91294676133 (94, 82) mlgrad
23 62 1.91294676133 (104, 92) mlgrad
23 18 1.91294676133 (30, 26) mlgrad
23 45 1.91294676133 (84, 73) sloan
23 79 1.91294676133 (76, 65) sloan
23 96 1.91294676133 (25, 21) mlgrad
23 6 1.91294676133 (3, 1) 1styeargrad
23 30 1.91294676133 (68, 57) mlgrad
23 65 1.91294676133 (53, 44) mlgrad
23 82 1.91294676133 (83, 72) mlgrad
23 44 1.91294676133 (0, 0) 3rdyeargrad
23 32 1.91294676133 (0, 0) graduated
23 31 1.91294676133 (0, 0) sloan
23 75 1.91294676133 (100, 88) 1styeargrad
23 63 1.91294676133 (36, 31) mlgrad
23 83 1.91294676133 (5, 3) mlgrad
23 8 1.91294676133 (18, 0) 
23 74 1.91294676133 (75, 64) mlgrad
23 73 1.91294676133 (70, 59) sloan
23 42 1.91434430239 (51, 0) 
23 10 1.92420526898 (37, 32) mlgrad
23 5 1.92918353559 (24, 0) 
23 14 1.93246746396 (16, 14) 1styeargrad
23 16 1.93669818898 (102, 90) mlurop
23 28 1.93933844365 (0, 0) 6years
23 54 1.93942531984 (91, 0) mlgrad
23 81 1.94123981205 (19, 16) 1styeargrad
23 84 1.94267425566 (77, 66) sloan
23 72 1.94307020432 (81, 70) sloan
23 34 1.95098207934 (96, 84) mlgrad
23 4 1.95206210369 (55, 46) sloan
23 41 1.95273644418 (0, 0) prof
23 9 1.95439414956 (0, 0) mlUrop
23 21 1.95769749601 (103, 91) mlgrad
23 50 1.96292783164 (86, 74) sloan
23 19 1.96688312402 (56, 47) sloan
23 12 1.97045928215 (97, 85) sloan
23 13 1.9704951578 (87, 75) mlstaff
23 69 1.97142255129 (28, 24) 1styeargrad
23 56 1.97284666523 (95, 83) sloan
23 38 1.97304592123 (52, 43) sloan
23 39 1.97431528343 (60, 50) mlgrad
23 51 1.98367922438 (58, 49) 1styeargrad
23 25 inf (0, 0) sloan
23 48 inf (0, 0) Germany
23 52 inf (0, 0) 
23 53 inf (43, 37) mlgrad
23 55 inf (0, 0) urop_hd
23 64 inf (66, 55) sloan
23 67 inf (0, 0) sloan
23 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 24 (converts to 78, then to 67) mlfrosh
24 26 0.595767197545 (63, 53) 1styeargrad
24 70 1.23252629767 (40, 34) mlfrosh
24 61 1.38905735295 (79, 68) mlfrosh
24 49 1.39702015008 (50, 42) mlgrad
24 11 1.47264945849 (88, 76) 1styeargrad
24 27 1.55381642833 (34, 0) 
24 17 1.60856007505 (0, 0) 5 year media lab
24 71 1.61759564323 (20, 17) 1styeargrad
24 59 1.65313254119 (7, 5) grad
24 46 1.65573331216 (93, 81) sloan
24 93 1.67427060643 (65, 54) mlgrad
24 20 1.67820609182 (74, 63) sloan
24 58 1.6816622517 (33, 29) mlfrosh
24 92 1.68556031054 (46, 39) sloan
24 22 1.69666008291 (49, 41) sloan
24 35 1.76305921899 (0, 0) sloan
24 66 1.78128052531 (42, 36) sloan
24 36 1.7843194217 (54, 45) sloan
24 23 1.80878218439 (61, 51) sloan
24 77 1.81536423132 (89, 77) sloan
24 76 1.8709879005 (82, 71) 1styeargrad
24 40 1.8833084839 (98, 86) sloan
24 80 1.89575024264 (27, 23) mlgrad
24 97 1.89731646205 (22, 19) 1styeargrad
24 3 1.90003253812 (32, 28) mlfrosh
24 2 1.90059222377 (29, 25) mlgrad
24 89 1.90120733951 (26, 22) 1styeargrad
24 83 1.90132304839 (5, 3) mlgrad
24 94 1.90136365623 (10, 8) mlgrad
24 85 1.9013789651 (6, 4) mlgrad
24 88 1.90138243646 (17, 15) mlstaff
24 29 1.90138803366 (4, 2) mlgrad
24 65 1.90138803366 (53, 44) mlgrad
24 32 1.90138803366 (0, 0) graduated
24 7 1.90138942946 (21, 18) 1styeargrad
24 90 1.90139030515 (13, 11) grad
24 68 1.90139145804 (38, 33) mlfrosh
24 57 1.9013917194 (23, 20) mlgrad
24 78 1.9013920717 (12, 10) mlgrad
24 86 1.90139237887 (8, 6) mlgrad
24 95 1.90139265552 (9, 7) professor
24 63 1.90139332243 (36, 31) mlgrad
24 37 1.9013935507 (94, 82) mlgrad
24 15 1.90139382144 (15, 13) 1styeargrad
24 96 1.90139389615 (25, 21) mlgrad
24 8 1.90139429777 (18, 0) 
24 43 1.90139466131 (101, 89) mlgrad
24 91 1.90139471948 (35, 30) mlgrad
24 74 1.90139496878 (75, 64) mlgrad
24 33 1.90139512569 (41, 35) mlstaff
24 47 1.90139512569 (90, 78) mlgrad
24 79 1.90139512569 (76, 65) sloan
24 6 1.90139512569 (3, 1) 1styeargrad
24 62 1.90139512569 (104, 92) mlgrad
24 30 1.90139512569 (68, 57) mlgrad
24 45 1.90139512569 (84, 73) sloan
24 82 1.90139512569 (83, 72) mlgrad
24 44 1.90139512569 (0, 0) 3rdyeargrad
24 75 1.90139512569 (100, 88) 1styeargrad
24 73 1.90139512569 (70, 59) sloan
24 31 1.90713596962 (0, 0) sloan
24 18 1.90862138244 (30, 26) mlgrad
24 42 1.91434430239 (51, 0) 
24 10 1.92420134686 (37, 32) mlgrad
24 5 1.92917785243 (24, 0) 
24 14 1.93246037193 (16, 14) 1styeargrad
24 60 1.93261468923 (67, 56) mlgrad
24 16 1.93669686488 (102, 90) mlurop
24 28 1.93933844365 (0, 0) 6years
24 54 1.93942531984 (91, 0) mlgrad
24 81 1.94123272002 (19, 16) 1styeargrad
24 84 1.94266716364 (77, 66) sloan
24 72 1.94306958068 (81, 70) sloan
24 34 1.95098207934 (96, 84) mlgrad
24 4 1.95206210369 (55, 46) sloan
24 41 1.95273553317 (0, 0) prof
24 9 1.95439414956 (0, 0) mlUrop
24 21 1.95769749601 (103, 91) mlgrad
24 50 1.96292704085 (86, 74) sloan
24 19 1.96688312402 (56, 47) sloan
24 12 1.97045928215 (97, 85) sloan
24 13 1.9704951578 (87, 75) mlstaff
24 69 1.97142131306 (28, 24) 1styeargrad
24 56 1.97284666523 (95, 83) sloan
24 38 1.97304592123 (52, 43) sloan
24 39 1.97431528343 (60, 50) mlgrad
24 51 1.98367922438 (58, 49) 1styeargrad
24 25 inf (0, 0) sloan
24 48 inf (0, 0) Germany
24 52 inf (0, 0) 
24 53 inf (43, 37) mlgrad
24 55 inf (0, 0) urop_hd
24 64 inf (66, 55) sloan
24 67 inf (0, 0) sloan
24 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 25 (converts to 0, then to 0) sloan
RANKED SIMILARITIES: 26 (converts to 63, then to 53) 1styeargrad
26 24 0.595767197545 (78, 67) mlfrosh
